Date,Post ID,Network,Post Type,Content Type,Profile,Link,Post,Linked Content,Impressions,Engagements,Engagement Rate (per Impression),Organic Impressions,Potential Reach,Reactions,Likes,Comments,Shares,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Video Views
3/8/2022 4:52 PM,1501209332599373829,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1501209332599373829,"We are proud to be a Platinum sponsor of #UmojaHackAfrica2022, supporting the next generation of data scientists in Africa. #UHA22 #ZindiHack #BuildingAITogether Sign up here👉🏼 https://t.co/5PUR75yqZK https://t.co/meR0ZYCsCP","http://bit.ly/uha22-signup, https://twitter.com/data_explore/status/1501209332599373829/photo/1",169,7,4.14%,169,"1,293",2,2,0,0,1,4,5,0,
3/9/2022 8:58 AM,1501452352330547200,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1501452352330547200,"Comparison operators form an integral part of programming languages and are used in conditional statements. 

Keep an eye out for tomorrow's post - we will be sharing how to use a logic tree, flowchart and pseudocode to solve a programming problem. 

#programming #python https://t.co/cgxWK3iPF8",https://twitter.com/data_explore/status/1501452352330547200/photo/1,233,14,6.01%,233,"3,929",1,1,0,2,,11,11,0,
3/10/2022 9:51 AM,1501828081660616709,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1501828081660616709,"How would you use logic trees, flowcharts and pseudocode to solve a problem? Follow our example to see how easy it is. 

Next, take a minute to write the Python algorithm for programmatic implementation. 

#pythonprogramming #datascience #problemsolving #elearning #coding https://t.co/h0FA47xRvI",https://twitter.com/data_explore/status/1501828081660616709/photo/1,255,18,7.06%,255,"5,470",3,3,0,1,,14,14,0,57
3/15/2022 4:02 PM,1503733368130781188,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1503733368130781188,"UmojaHack Africa hackathon takes place this weekend 19-20 March! We're in collab with @ZindiAfrica .

Prizes to be won, connections to be made. It's not too late to sign up: https://t.co/5PUR75yqZK

#UHA22 #UmojaHackAfrica2022 #ZindiHack https://t.co/8sYmRiDXOk","http://bit.ly/uha22-signup, https://twitter.com/data_explore/status/1503733368130781188/photo/1","1,453",42,2.89%,"1,453","53,737",8,8,0,5,10,19,29,0,
3/23/2022 4:06 PM,1506633454221504512,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1506633454221504512,"This week, we introduce a few of the most important Python packages a data scientist will use. NumPy is the first one.

Do a few https://t.co/PV7uzotnoR NumPy exercises to improve your skills: https://t.co/3UzCGa3LRV.

#Numpy  #Python  #DataScience  #elearning https://t.co/Vl1DJ3KLG7","http://W3Schools.com, https://www.w3schools.com/python/numpy/numpy_exercises.asp, https://twitter.com/exp_datascience/status/1506633454221504512/photo/1",268,14,5.22%,268,"14,240",4,4,0,4,3,3,6,0,
3/25/2022 3:42 PM,1507352139844276230,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1507352139844276230,"If data wrangling is your thing, then make sure to work on your Pandas' skills. 

This Pandas exercise project is very handy to guide you through the basics - https://t.co/jnifWvcPYH.

#Pandas  #PythonProgramming  #DataAnalytics #DataScientists #pythonlearning https://t.co/94w1l0L6QC","https://pynative.com/python-pandas-exercise/, https://twitter.com/exp_datascience/status/1507352139844276230/photo/1",,,,,"7,063",,,,,,,,,
3/25/2022 4:47 PM,1507368688667795464,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1507368688667795464,"If data wrangling is your thing, then make sure to work on your Pandas skills. 

This Pandas exercise project is very handy to guide you through the basics - https://t.co/jnifWvcPYH.

#Pandas  #PythonProgramming  #DataAnalytics #DataScientists #pythonlearning https://t.co/ViQM9hdaiQ","https://pynative.com/python-pandas-exercise/, https://twitter.com/exp_datascience/status/1507368688667795464/photo/1",182,15,8.24%,182,"5,470",5,5,0,1,2,7,9,0,
3/30/2022 2:35 PM,1509147279575420930,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1509147279575420930,"Data visualisation is vital in gathering insights from our data.  Python has various visualisation packages we can use,  including Matplotlib, Seaborn and Plotly.  

Later this week, we will show you how to create a bar chart with these three packages. 

#Datavisualization https://t.co/virBr2qFYE",https://twitter.com/exp_datascience/status/1509147279575420930/photo/1,440,36,8.18%,440,"9,732",9,9,0,3,,24,24,0,
4/1/2022 2:27 PM,1509870046742515713,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1509870046742515713,"Here's some exciting news: @BCXworld has committed to sponsoring young data science talent for another three years. They're doing their bit to bring data science, and cool jobs, to the people.

Read about it here: https://t.co/Auir93SnfF

#DataScience #elearning #education https://t.co/aJ6bod1hOm","https://www.skillsportal.co.za/content/explore-data-science-academy-secures-three-year-contract-bcx, https://twitter.com/exp_datascience/status/1509870046742515713/photo/1","2,681",70,2.61%,"2,681","12,960",9,9,0,3,18,40,58,0,
4/5/2022 12:42 PM,1511293309343473671,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1511293309343473671,"Creating visualisations with Python is easier than setting up an email account. 

Learn how to create a bar chart with Matplotlib in less than 20 seconds. 

#ExploreDataScience #Python #Programming #PythonProgramming #Visualisation #DataVisualisation #Matplotlib #DatScience https://t.co/xAGWPYwYKY",https://twitter.com/exp_datascience/status/1511293309343473671/video/1,339,25,7.37%,339,"12,409",3,3,0,4,,18,18,0,68
